DISTRITO,COD_DIST,UGM,TOTAL,HOMBRES,MUJERES,EXPOSICION_NORMALIZACION_BASE_100,CATEGORIA_EXPOSICION
Liberia           ,50101,38541,65,28,37,7.82608695652174,Medio
Liberia           ,50101,38555,61,22,39,7.329192546583851,Medio
Liberia           ,50101,38563,73,31,42,8.819875776397515,Medio
Liberia           ,50101,38575,44,16,28,5.217391304347826,Bajo-medio
Liberia           ,50101,38584,182,90,92,22.36024844720497,Alto
Liberia           ,50101,38589,16,8,8,1.7391304347826086,Bajo
Liberia           ,50101,38592,69,33,36,8.322981366459627,Medio
Liberia           ,50101,38595,202,107,95,24.84472049689441,Alto
Liberia           ,50101,38606,106,50,56,12.919254658385093,Alto-medio
Liberia           ,50101,38611,30,15,15,3.4782608695652173,Bajo-medio
Liberia           ,50101,38626,90,46,44,10.93167701863354,Medio
Liberia           ,50101,38627,79,33,46,9.565217391304348,Medio
Liberia           ,50101,38639,13,4,9,1.3664596273291925,Bajo
Liberia           ,50101,38662,129,57,72,15.77639751552795,Alto-medio
Liberia           ,50101,38668,27,12,15,3.1055900621118013,Bajo-medio
Liberia           ,50101,38678,50,24,26,5.962732919254658,Bajo-medio
Liberia           ,50101,38702,30,18,12,3.4782608695652173,Bajo-medio
Liberia           ,50101,38726,22,9,13,2.484472049689441,Bajo
Liberia           ,50101,38730,116,45,71,14.161490683229813,Alto-medio
Liberia           ,50101,38740,40,22,18,4.720496894409938,Bajo-medio
Liberia           ,50101,38750,44,22,22,5.217391304347826,Bajo-medio
Liberia           ,50101,38758,27,12,15,3.1055900621118013,Bajo-medio
Liberia           ,50101,38796,114,49,65,13.91304347826087,Alto-medio
Liberia           ,50101,38797,27,12,15,3.1055900621118013,Bajo-medio
Liberia           ,50101,38817,118,61,57,14.409937888198757,Alto-medio
Liberia           ,50101,38831,130,67,63,15.900621118012422,Alto-medio
Liberia           ,50101,38839,65,27,38,7.82608695652174,Medio
Liberia           ,50101,38840,199,90,109,24.472049689440993,Alto
Liberia           ,50101,38844,218,100,118,26.83229813664596,Alto
Liberia           ,50101,38854,87,44,43,10.559006211180124,Medio
Liberia           ,50101,38856,35,19,16,4.099378881987578,Bajo-medio
Liberia           ,50101,38858,186,104,82,22.857142857142858,Alto
Liberia           ,50101,38859,12,6,6,1.2422360248447204,Bajo
Liberia           ,50101,38867,105,59,46,12.79503105590062,Alto-medio
Liberia           ,50101,38876,42,19,23,4.968944099378882,Bajo-medio
Liberia           ,50101,38878,133,71,62,16.273291925465838,Alto-medio
Liberia           ,50101,38879,79,35,44,9.565217391304348,Medio
Liberia           ,50101,38885,46,11,35,5.46583850931677,Bajo-medio
Liberia           ,50101,38886,95,47,48,11.5527950310559,Medio
Liberia           ,50101,38893,83,36,47,10.062111801242237,Medio
Liberia           ,50101,38901,42,23,19,4.968944099378882,Bajo-medio
Liberia           ,50101,38903,45,18,27,5.341614906832298,Bajo-medio
Liberia           ,50101,38911,90,43,47,10.93167701863354,Medio
Liberia           ,50101,38929,91,52,39,11.055900621118013,Medio
Liberia           ,50101,38933,110,52,58,13.41614906832298,Alto-medio
Liberia           ,50101,38934,25,17,8,2.857142857142857,Bajo-medio
Liberia           ,50101,38935,53,25,28,6.3354037267080745,Bajo-medio
Liberia           ,50101,38943,52,28,24,6.211180124223603,Bajo-medio
Liberia           ,50101,38949,60,32,28,7.204968944099378,Medio
Liberia           ,50101,38971,90,42,48,10.93167701863354,Medio
Liberia           ,50101,38978,17,12,5,1.8633540372670807,Bajo
Liberia           ,50101,38987,29,12,17,3.354037267080745,Bajo-medio
Liberia           ,50101,38990,30,21,9,3.4782608695652173,Bajo-medio
Liberia           ,50101,39037,55,28,27,6.583850931677018,Medio
Liberia           ,50101,39041,131,67,64,16.024844720496894,Alto-medio
Liberia           ,50101,39061,58,28,30,6.956521739130435,Medio
Liberia           ,50101,39071,53,21,32,6.3354037267080745,Bajo-medio
Liberia           ,50101,39073,44,20,24,5.217391304347826,Bajo-medio
Liberia           ,50101,39080,138,71,67,16.8944099378882,Alto-medio
Liberia           ,50101,39119,78,34,44,9.440993788819876,Medio
Liberia           ,50101,39121,68,30,38,8.198757763975156,Medio
Liberia           ,50101,39122,81,33,48,9.813664596273291,Medio
Liberia           ,50101,39129,41,14,27,4.84472049689441,Bajo-medio
Liberia           ,50101,39132,69,29,40,8.322981366459627,Medio
Liberia           ,50101,39134,65,27,38,7.82608695652174,Medio
Liberia           ,50101,39139,152,70,82,18.633540372670808,Alto-medio
Liberia           ,50101,39140,253,120,133,31.180124223602483,Alto
Liberia           ,50101,39151,22,9,13,2.484472049689441,Bajo
Liberia           ,50101,39156,34,12,22,3.9751552795031055,Bajo-medio
Liberia           ,50101,39158,97,52,45,11.801242236024844,Medio
Liberia           ,50101,39161,78,39,39,9.440993788819876,Medio
Liberia           ,50101,39166,212,112,100,26.08695652173913,Alto
Liberia           ,50101,39171,84,47,37,10.186335403726709,Medio
Liberia           ,50101,39199,60,35,25,7.204968944099378,Medio
Liberia           ,50101,39204,59,24,35,7.080745341614906,Medio
Liberia           ,50101,39210,30,19,11,3.4782608695652173,Bajo-medio
Liberia           ,50101,39214,33,12,21,3.8509316770186333,Bajo-medio
Liberia           ,50101,39218,37,17,20,4.3478260869565215,Bajo-medio
Liberia           ,50101,39251,116,56,60,14.161490683229813,Alto-medio
Liberia           ,50101,39290,168,76,92,20.62111801242236,Alto-medio
