DISTRITO,COD_DIST,UGM,HOMBRES,MUJERES,TOTAL,CARENCIAS_ALBERGUE,CARENCIAS_ALBERGUE_HOMBRES,CARENCIAS_ALBERGUE_MUJERES,CARENCIAS_ACCESO_VIDA_SALUDABLE,CARENCIAS_ACCESO_VIDA_SALUDABLE_HOMBRES,CARENCIAS_ACCESO_VIDA_SALUDABLE_MUJERES,CARENCIAS_CONOCIMIENTO,CARENCIAS_CONOCIMIENTO_HOMBRES,CARENCIAS_CONOCIMIENTO_MUJERES,CARENCIAS_ACCESO_OTROS_BIENES,CARENCIAS_ACCESO_OTROS_BIENES_HOMBRES,CARENCIAS_ACCESO_OTROS_BIENES_MUJERES,SIN_CARENCIAS,SIN_CARENCIAS_HOMBRES,SIN_CARENCIAS_MUJERES,CARENCIAS_1,CARENCIAS_1_HOMBRES,CARENCIAS_1_MUJERES,CARENCIAS_2,CARENCIAS_2_HOMBRES,CARENCIAS_2_MUJERES,CARENCIAS_3,CARENCIAS_3_HOMBRES,CARENCIAS_3_MUJERES,CARENCIAS_4,CARENCIAS_4_HOMBRES,CARENCIAS_4_MUJERES,NULO,CON_CARENCIAS,CON_CARENCIAS_HOMBRES,CON_CARENCIAS_MUJERES,TOTAL_2,NORMALIZACION_BASE_100_CARENCIAS,SIN_LIMITACIONES,SIN_LIMITACIONES_HOMBRES,SIN_LIMITACIONES_MUJERES,CON_LIMITACIONES,CON_LIMITACIONES_HOMBRES,CON_LIMITACIONES_MUJERES,LIMITACION_VISUAL,LIMITACION_VISUAL_HOMBRES,LIMITACION_VISUAL_MUJERES,LIMITACION_AUDITIVA,LIMITACION_AUDITIVA_HOMBRES,LIMITACION_AUDITIVA_MUJERES,LIMITACION_HABLAR,LIMITACION_HABLAR_HOMBRES,LIMITACION_HABLAR_MUJERES,LIMITACION_CAMINAR,LIMITACION_CAMINAR_HOMBRES,LIMITACION_CAMINAR_MUJERES,LIMITACION_BRAZOS_Y_PIERNAS,LIMITACION_BRAZOS_Y_PIERNAS_HOMBRES,LIMITACION_BRAZOS_Y_PIERNAS_MUJERES,LIMITACION_INTELECTUAL,LIMITACION_INTELECTUAL_HOMBRES,LIMITACION_INTELECTUAL_MUJERES,LIMITACION_MENTAL,LIMITACION_MENTAL_HOMBRES,LIMITACION_MENTAL_MUJERES,TOTAL_3,NORMALIZACION_BASE_100_LIMITACIONES,DEPENDENCIA_EDAD_0_14,DEPENDENCIA_EDAD_0_14_HOMBRES,DEPENDENCIA_EDAD_0_14_MUJERES,DEPENDENCIA_EDAD_MAYORIGUAL_65,DEPENDENCIA_EDAD_MAYORIGUAL_65_HOMBRES,DEPENDENCIA_EDAD_MAYORIGUAL_65_MUJERES,EDAD_15_64,EDAD_15_64_HOMBRES,EDAD_15_64_MUJERES,POBLACION_DEPENDIENTE,POBLACION_DEPENDIENTE_HOMBRES,POBLACION_DEPENDIENTE_MUJERES,TOTAL_4,NORMALIZACION_BASE_100_DEPENDIENTES,POBLACION_DESOCUPADA,POBLACION_DESOCUPADA_HOMBRES,POBLACION_DESOCUPADA_MUJERES,POBLACION_OCUPADA,POBLACION_OCUPADA_HOMBRES,POBLACION_OCUPADA_MUJERES,FUERA_DE_LA_FUERZA_LABORAL,FUERA_DE_LA_FUERZA_LABORAL_HOMBRES,FUERA_DE_LA_FUERZA_LABORAL_MUJERES,NORMALIZACION_BASE_100_DESOCUPADOS,MEDIOS_DE_VIDA,MV_AGRICULTURA_GANADERIA_PESCA_HOMBRES,MV_AGRICULTURA_GANADERIA_PESCA_MUJERES,MV_MINAS_CANTERAS_HOMBRES,MV_MINAS_CANTERAS_MUJERES,MV_INDUSTRIAS_MANUFACTURERAS_HOMBRES,MV_INDUSTRIAS_MANUFACTURERAS_MUJERES,MV_SUMINISTRO_ELECTRICIDAD_GAS_HOMBRES,MV_SUMINISTRO_ELECTRICIDAD_GAS_MUJERES,MV_SUMINISTRO_AGUA_HOMBRES,MV_SUMINISTRO_AGUA_MUJERES,MV_CONSTRUCCION_HOMBRES,MV_CONSTRUCCION_MUJERES,MV_COMERCIO_REPARACION_VEHICULOS_HOMBRES,MV_COMERCIO_REPARACION_VEHICULOS_MUJERES,MV_TRANSPORTE_ALMACENAMIENTO_HOMBRES,MV_TRANSPORTE_ALMACENAMIENTO_MUJERES,MV_ALOJAMIENTO_SERVICIO_COMIDA_HOMBRES,MV_ALOJAMIENTO_SERVICIO_COMIDA_MUJERES,MV_INFORMACION_COMUNICACION_HOMBRES,MV_INFORMACION_COMUNICACION_MUJERES,MV_FINANCIERAS_SEGUROS_HOMBRES,MV_FINANCIERAS_SEGUROS_MUJERES,MV_ACTIVIDADES_INMOBILIARIAS_HOMBRES,MV_ACTIVIDADES_INMOBILIARIAS_MUJERES,MV_PROFESIONALES_CIENTIFICAS_TECNICAS_HOMBRES,MV_PROFESIONALES_CIENTIFICAS_TECNICAS_MUJERES,MV_ADMINISTRATIVAS_SERVICIO_APOYO_HOMBRES,MV_ADMINISTRATIVAS_SERVICIO_APOYO_MUJERES,MV_ADMINISTRACION_PUBLICA_HOMBRES,MV_ADMINISTRACION_PUBLICA_MUJERES,MV_ENSENANZA_HOMBRES,MV_ENSENANZA_MUJERES,MV_SALUD_HUMANA_HOMBRES,MV_SALUD_HUMANA_MUJERES,MV_ARTISTICAS_RECREATIVAS_HOMBRES,MV_ARTISTICAS_RECREATIVAS_MUJERES,MV_OTRAS_ACTIVIDADES_SERVICIO_HOMBRES,MV_OTRAS_ACTIVIDADES_SERVICIO_MUJERES,MV_HOGARES_CALIDAD_EMPLEADORES_HOMBRES,MV_HOGARES_CALIDAD_EMPLEADORES_MUJERES,MV_ORGANIZACIONES_EXTRATERRITORIALES_HOMBRES,MV_ORGANIZACIONES_EXTRATERRITORIALES_MUJERES,NORMALIZACION_BASE_100_MEDIOS_DE_VIDA,LONGITUD_CAMINOS_PCT,NORMALIZACION_BASE_100_10_CAMINOS,AREA_ASP_PCT,NORMALIZACION_BASE_100_10_ASP,AREA_SOBREUSO_PCT,NORMALIZACION_BASE_100_10_SOBREUSO,SUMA_VULNERABILIDADES,INDICE_VULNERABILIDAD_INTEGRADO,CATEGORIA_VULNERABILIDAD
Liberia           ,50101,38541,28,37,65,7,1,6,0,0,0,12,6,6,12,6,6,46,21,25,7,1,6,12,6,6,0,0,0,0,0,0,0,19,7,12,65,6.291390728,60,25,35,5,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,65,5.102040816,26,11,15,0,0,0,39,17,22,26,11,15,65,11.158798283,0,0,0,24,14,10,25,5,20,0.0,144.0267,0,0,0,0,6,0,2,2,0,0,2,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,64.10889519552727,50.17776413681946,0.0,7.749850303661617,10.0,16.220916872664098,8.346317317093105,105.00744233962038,21.767265128747503,Alto-medio
Liberia           ,50101,38555,22,39,61,8,2,6,0,0,0,21,5,16,10,5,5,32,13,19,19,6,13,10,3,7,0,0,0,0,0,0,0,29,9,20,61,9.602649006,58,20,38,3,2,1,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,61,3.061224489,23,8,15,1,1,0,37,13,24,24,9,15,61,10.300429184,0,0,0,15,7,8,28,8,20,0.0,123.8,1,0,0,0,0,0,0,0,0,0,1,0,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,48.46771886140259,50.17776413681946,0.0,7.749850303661617,10.0,16.220916872664098,8.346317317093105,89.7783388574957,17.19258346454945,Medio
Liberia           ,50101,38563,31,42,73,0,0,0,0,0,0,32,13,19,0,0,0,41,18,23,32,13,19,0,0,0,0,0,0,0,0,0,0,32,13,19,73,10.59602649,62,27,35,11,4,7,8,2,6,1,1,0,0,0,0,3,0,3,0,0,0,0,0,0,1,1,0,73,11.224489795,14,4,10,4,2,2,55,25,30,18,6,12,73,7.725321888,0,0,0,30,16,14,33,12,21,0.0,96.1736,1,0,0,0,1,1,2,0,0,0,1,0,4,3,1,0,0,1,0,0,0,0,0,0,1,0,1,0,2,4,1,0,1,2,0,0,0,0,0,3,0,0,27.10440236009186,50.17776413681946,0.0,7.749850303661617,10.0,16.220916872664098,8.346317317093105,74.99655785018497,12.752273329569592,Bajo-medio
Liberia           ,50101,38575,16,28,44,23,7,16,0,0,0,0,0,0,0,0,0,21,9,12,23,7,16,0,0,0,0,0,0,0,0,0,0,23,7,16,44,7.615894039,43,16,27,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,44,1.020408163,8,3,5,5,2,3,31,11,20,13,5,8,44,5.579399141,0,0,0,20,9,11,18,5,13,0.0,123.8,0,0,0,0,2,2,0,0,0,0,2,0,2,4,1,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,48.46771886140259,50.17776413681946,0.0,7.749850303661617,10.0,16.220916872664098,8.346317317093105,81.02973752149569,14.564584635455272,Bajo-medio
Liberia           ,50101,38584,90,92,182,21,15,6,0,0,0,19,14,5,20,15,5,150,70,80,18,8,10,0,0,0,14,12,2,0,0,0,0,32,20,12,182,10.59602649,153,73,80,29,17,12,23,14,9,5,4,1,2,2,0,3,2,1,1,1,0,1,0,1,0,0,0,182,29.591836734,48,22,26,10,5,5,124,63,61,58,27,31,182,24.892703862,3,3,0,68,39,29,71,28,43,10.0,110.487,0,0,0,0,8,2,0,0,0,0,1,0,13,6,1,0,5,3,4,0,1,0,0,0,0,0,1,1,1,1,3,7,1,5,0,0,0,1,0,3,0,0,38.17286203670051,50.17776413681946,0.0,7.749850303661617,10.0,16.220916872664098,8.346317317093105,131.59974643979362,29.755347035120426,Alto
Liberia           ,50101,38589,8,8,16,0,0,0,0,0,0,7,4,3,0,0,0,9,4,5,7,4,3,0,0,0,0,0,0,0,0,0,0,7,4,3,16,2.317880794,15,8,7,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1.020408163,5,3,2,0,0,0,11,5,6,5,3,2,16,2.145922746,0,0,0,6,4,2,6,1,5,0.0,161.8801,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,77.91481398424027,50.17776413681946,0.0,7.749850303661617,10.0,16.220916872664098,8.346317317093105,101.74534300433338,20.787360695538666,Alto-medio
Liberia           ,50101,38592,33,36,69,15,5,10,0,0,0,4,2,2,3,2,1,47,24,23,22,9,13,0,0,0,0,0,0,0,0,0,0,22,9,13,69,7.284768211,61,31,30,8,2,6,4,1,3,0,0,0,1,1,0,2,0,2,1,0,1,0,0,0,1,0,1,69,8.163265306,19,9,10,5,3,2,45,21,24,24,12,12,69,10.300429184,0,0,0,26,18,8,26,8,18,0.0,83.1288,0,0,0,0,1,0,0,0,0,0,1,0,5,1,1,0,0,2,1,0,1,0,0,0,2,0,1,0,1,0,4,1,0,1,0,0,0,1,0,2,0,0,17.01694286134073,50.17776413681946,0.0,7.749850303661617,10.0,16.220916872664098,8.346317317093105,61.111722879433835,8.581397478232262,Bajo
Liberia           ,50101,38595,107,95,202,43,23,20,0,0,0,23,12,11,9,6,3,146,78,68,44,22,22,5,2,3,7,5,2,0,0,0,0,56,29,27,202,18.543046357,186,95,91,16,12,4,2,2,0,7,3,4,4,1,3,5,4,1,0,0,0,0,0,0,4,4,0,202,16.326530612,36,16,20,15,10,5,151,81,70,51,26,25,202,21.888412017,2,2,0,89,49,40,81,45,36,6.666666666,72.6458,6,0,0,0,2,2,2,0,1,0,7,0,10,4,3,1,3,9,1,2,3,2,0,1,0,0,3,1,0,2,2,6,3,7,2,0,1,0,0,3,0,0,8.91050673925315,50.17776413681946,0.0,7.749850303661617,10.0,16.220916872664098,8.346317317093105,90.68147970834626,17.46387861304088,Medio
Liberia           ,50101,38606,50,56,106,4,3,1,1,1,0,0,0,0,2,1,1,100,46,54,5,3,2,1,1,0,0,0,0,0,0,0,0,6,4,2,106,1.986754966,100,47,53,6,3,3,0,0,0,1,1,0,1,1,0,4,1,3,1,0,1,0,0,0,0,0,0,106,6.122448979,29,14,15,8,2,6,69,34,35,37,16,21,106,15.879828326,2,1,1,50,28,22,30,9,21,6.666666666,82.84,2,0,0,0,3,3,1,1,0,0,2,0,5,6,1,1,2,1,0,0,0,0,0,0,0,1,5,0,2,0,0,6,0,1,2,0,3,1,0,1,0,0,16.79361568857922,50.17776413681946,0.0,7.749850303661617,10.0,16.220916872664098,8.346317317093105,65.79563194267233,9.988400387728467,Bajo-medio
Liberia           ,50101,38611,15,15,30,0,0,0,0,0,0,5,2,3,4,1,3,21,12,9,9,3,6,0,0,0,0,0,0,0,0,0,0,9,3,6,30,2.98013245,26,14,12,4,1,3,4,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,30,4.081632653,10,3,7,0,0,0,20,12,8,10,3,7,30,4.291845493,0,0,0,11,9,2,11,4,7,0.0,123.7999,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,48.46764153204915,50.17776413681946,0.0,7.749850303661617,10.0,16.220916872664098,8.346317317093105,78.16756944514226,13.704815849057855,Bajo-medio
