DISTRITO,CARENCIAS,SEXO,POBLACION
Nicoya            ,1 carencia,Mujeres,2598
Nicoya            ,1 carencia,Hombres,2486
San Antonio       ,1 carencia,Mujeres,858
San Antonio       ,1 carencia,Hombres,846
Nosara            ,1 carencia,Mujeres,789
Nosara            ,1 carencia,Hombres,746
Nicoya            ,2 carencias,Hombres,696
Mansión           ,1 carencia,Mujeres,693
Nicoya            ,2 carencias,Mujeres,680
Mansión           ,1 carencia,Hombres,646
Belén de Nosarita ,1 carencia,Hombres,460
Sámara            ,1 carencia,Hombres,454
Belén de Nosarita ,1 carencia,Mujeres,435
Sámara            ,1 carencia,Mujeres,393
Quebrada Honda    ,1 carencia,Mujeres,288
Quebrada Honda    ,1 carencia,Hombres,268
Nosara            ,2 carencias,Hombres,232
San Antonio       ,2 carencias,Hombres,228
Nosara            ,2 carencias,Mujeres,204
San Antonio       ,2 carencias,Mujeres,197
Sámara            ,2 carencias,Hombres,194
Sámara            ,2 carencias,Mujeres,184
Nicoya            ,3 carencias,Mujeres,164
Belén de Nosarita ,2 carencias,Mujeres,161
Belén de Nosarita ,2 carencias,Hombres,154
Mansión           ,2 carencias,Hombres,148
Mansión           ,2 carencias,Mujeres,145
Nicoya            ,3 carencias,Hombres,144
Quebrada Honda    ,2 carencias,Hombres,76
Nosara            ,3 carencias,Hombres,72
Belén de Nosarita ,3 carencias,Hombres,60
Nosara            ,3 carencias,Mujeres,60
Quebrada Honda    ,2 carencias,Mujeres,60
San Antonio       ,3 carencias,Hombres,55
Belén de Nosarita ,3 carencias,Mujeres,51
San Antonio       ,3 carencias,Mujeres,50
Sámara            ,3 carencias,Hombres,37
Sámara            ,3 carencias,Mujeres,34
Nicoya            ,4 carencias,Hombres,30
Nicoya            ,4 carencias,Mujeres,23
Mansión           ,3 carencias,Mujeres,17
Mansión           ,3 carencias,Hombres,14
Sámara            ,4 carencias,Hombres,9
Nosara            ,4 carencias,Mujeres,9
Nosara            ,4 carencias,Hombres,8
Quebrada Honda    ,3 carencias,Mujeres,8
Belén de Nosarita ,4 carencias,Hombres,7
San Antonio       ,4 carencias,Hombres,7
Sámara            ,4 carencias,Mujeres,5
Quebrada Honda    ,3 carencias,Hombres,5
San Antonio       ,4 carencias,Mujeres,3
Belén de Nosarita ,4 carencias,Mujeres,2
Mansión           ,4 carencias,Hombres,0
Quebrada Honda    ,4 carencias,Hombres,0
Mansión           ,4 carencias,Mujeres,0
Quebrada Honda    ,4 carencias,Mujeres,0
