DISTRITO,COD_DIST,UGM,P10_Mean,P10_Dstdev,AMENAZA_SECA_NORMALIZACION_BASE_100,CATEGORIA_AMENAZA_SECA
Nicoya            ,50201,38581,1122.959,0.158,75.166,Alto Medio
Nicoya            ,50201,38625,1146.182,5.162,73.235,Alto Medio
Nicoya            ,50201,38672,1232.703,9.274,66.039,Medio
Nicoya            ,50201,38706,1335.764,2.372,57.467,Bajo Medio
Nicoya            ,50201,38718,1193.917,0.0,69.265,Medio
Nicoya            ,50201,38725,1225.353,11.217,66.65,Medio
Nicoya            ,50201,38749,1114.444,0.0,75.875,Alto Medio
Nicoya            ,50201,38761,1128.441,4.091,74.711,Alto Medio
Nicoya            ,50201,38767,1173.886,1.565,70.931,Medio
Nicoya            ,50201,38779,1112.06,0.099,76.073,Alto
Nicoya            ,50201,38838,1126.458,3.691,74.875,Alto Medio
Nicoya            ,50201,38851,1178.232,4.542,70.569,Medio
Nicoya            ,50201,38866,1118.25,1.382,75.558,Alto Medio
Nicoya            ,50201,38875,1133.896,3.062,74.257,Alto Medio
Nicoya            ,50201,38954,1154.822,11.462,72.516,Medio
Nicoya            ,50201,38979,1131.305,3.357,74.472,Alto Medio
Nicoya            ,50201,39014,1172.196,0.384,71.071,Medio
Nicoya            ,50201,39016,1119.684,0.726,75.439,Alto Medio
Nicoya            ,50201,39102,1130.766,5.1,74.517,Alto Medio
Nicoya            ,50201,39114,1121.881,1.305,75.256,Alto Medio
Nicoya            ,50201,39143,1117.716,0.356,75.603,Alto Medio
Nicoya            ,50201,39157,1243.153,6.914,65.169,Medio
Nicoya            ,50201,39169,1355.039,5.015,55.863,Bajo Medio
Nicoya            ,50201,39185,1115.408,0.805,75.795,Alto Medio
Nicoya            ,50201,39195,1334.911,1.642,57.538,Bajo Medio
Nicoya            ,50201,39216,1296.915,3.309,60.698,Bajo Medio
Nicoya            ,50201,39225,1136.188,7.797,74.066,Alto Medio
Nicoya            ,50201,39280,1496.548,21.169,44.093,Bajo Medio
Nicoya            ,50201,39300,1115.988,1.999,75.746,Alto Medio
Nicoya            ,50201,39307,1159.69,4.491,72.111,Medio
Nicoya            ,50201,39328,1130.048,0.0,74.577,Alto Medio
Nicoya            ,50201,39349,1122.619,1.315,75.195,Alto Medio
Nicoya            ,50201,39399,1391.601,18.695,52.822,Bajo Medio
Nicoya            ,50201,39449,1336.088,10.55,57.44,Bajo Medio
Nicoya            ,50201,39460,1180.151,2.769,70.41,Medio
Nicoya            ,50201,39547,1188.603,11.248,69.707,Medio
Nicoya            ,50201,39582,1110.734,0.95,76.183,Alto
Nicoya            ,50201,39662,1175.776,6.724,70.774,Medio
Nicoya            ,50201,39673,1178.198,12.664,70.572,Medio
Nicoya            ,50201,39689,1167.188,2.226,71.488,Medio
Nicoya            ,50201,39729,1155.626,10.402,72.449,Medio
Nicoya            ,50201,39752,1344.034,6.67,56.779,Bajo Medio
Nicoya            ,50201,39786,1121.301,2.591,75.304,Alto Medio
Nicoya            ,50201,39835,1197.589,2.369,68.959,Medio
Nicoya            ,50201,39836,1362.589,2.707,55.235,Bajo Medio
Nicoya            ,50201,39865,1138.67,0.0,73.86,Alto Medio
Nicoya            ,50201,39941,1152.725,12.64,72.691,Medio
Nicoya            ,50201,39970,1116.774,0.361,75.681,Alto Medio
Nicoya            ,50201,40023,1122.175,1.813,75.232,Alto Medio
Nicoya            ,50201,40028,1252.295,11.098,64.409,Medio
Nicoya            ,50201,40055,1118.482,2.381,75.539,Alto Medio
Nicoya            ,50201,40077,1192.784,9.857,69.359,Medio
